delivery_delay_days,is_late,approval_wait_hours,carrier_wait_days,order_dayofweek,order_hour,total_items,total_price,total_freight,avg_price,max_price,price_to_freight_ratio,payment_installments,payment_value,product_weight_g,product_photos_qty,product_description_lenght,category_bad_rate,state_bad_rate,same_state,customer_past_bad_orders,pay_credit_card,pay_debit_card,pay_not_defined,pay_voucher,season_Spring,season_Summer,season_Winter,is_bad_order
-27.0,0,0.5444444444444444,3.0,0,10,1.0,119.9,8.78,119.9,119.9,13.656,3.0,128.68,400.0,1.0,178.0,0.11785260482846252,0.1805944600062247,1,0,True,False,False,False,False,False,True,0
-21.0,0,0.22527777777777777,0.0,0,8,1.0,29.99,13.47,29.99,29.99,2.2264,1.0,43.46,350.0,3.0,587.0,0.12140575079872204,0.11095673837014325,0,0,True,False,False,False,False,False,True,0
1.0,1,0.84,5.0,4,14,2.0,45.98,45.7,22.99,22.99,1.0061,9.0,91.68,150.0,1.0,566.0,0.1396514681308188,0.18285714285714286,0,0,True,False,False,False,False,False,False,1
7.0,1,0.0,8.0,0,18,1.0,84.9,14.36,84.9,84.9,5.9123,1.0,99.26,1200.0,3.0,228.0,0.14926077382824787,0.11095673837014325,1,2,False,False,False,False,False,False,False,1
-17.0,0,29.905277777777776,1.0,1,21,1.0,113.0,28.15,113.0,113.0,4.0142,1.0,141.15,5950.0,4.0,574.0,0.1145684155708892,0.11095673837014325,0,0,False,False,False,False,False,False,True,0
-13.0,0,28.8175,2.0,3,22,1.0,79.9,11.76,79.9,79.9,6.7942,1.0,91.66,949.0,6.0,530.0,0.15525212342758843,0.11095673837014325,1,0,False,False,False,False,True,False,False,0
-5.0,0,0.2461111111111111,1.0,6,13,1.0,39.9,13.76,39.9,39.9,2.8997,1.0,53.66,450.0,2.0,192.0,0.1145684155708892,0.13130841121495326,0,0,True,False,False,False,False,False,True,0
-13.0,0,0.25027777777777777,1.0,2,11,1.0,299.0,18.34,299.0,299.0,16.3032,9.0,317.34,1813.0,1.0,521.0,0.1145684155708892,0.1805944600062247,0,0,True,False,False,False,True,False,False,0
-4.0,0,33.73777777777778,1.0,0,20,1.0,27.9,15.1,27.9,27.9,1.8477,1.0,43.0,150.0,1.0,982.0,0.10112359550561797,0.11955307262569832,0,0,False,False,False,False,False,True,False,0
-21.0,0,57.619166666666665,-1.0,6,8,2.0,318.0,28.09,159.0,199.0,11.3208,3.0,346.09,6550.0,1.0,1893.0,0.1456675176452921,0.11955307262569832,1,0,True,False,False,False,False,False,False,0
-28.0,0,0.10944444444444444,3.0,6,21,2.0,659.8,164.96,329.9,329.9,3.9998,4.0,824.76,10000.0,1.0,424.0,0.13189771197846567,0.16715976331360946,0,0,True,False,False,False,False,True,False,0
-20.0,0,0.14222222222222222,4.0,5,13,1.0,24.89,15.1,24.89,24.89,1.6483,1.0,39.99,125.0,1.0,244.0,0.1396514681308188,0.11955307262569832,0,0,True,False,False,False,False,True,False,0
-21.0,0,0.9761111111111112,0.0,0,16,4.0,339.6,53.0,84.9,84.9,6.4075,3.0,392.6,150.0,1.0,380.0,0.13099535843218155,0.11095673837014325,1,0,True,False,False,False,False,False,True,0
-8.0,0,36.830555555555556,0.0,2,13,1.0,42.99,12.03,42.99,42.99,3.5736,1.0,55.02,1200.0,3.0,2432.0,0.13189771197846567,0.11095673837014325,1,0,False,False,False,False,False,False,True,0
-9.0,0,29.964166666666667,1.0,6,8,1.0,27.9,18.3,27.9,27.9,1.5246,1.0,46.2,150.0,1.0,982.0,0.10112359550561797,0.13087709650811108,0,0,False,True,False,False,False,False,True,0
-9.0,0,0.2911111111111111,2.0,2,14,1.0,50.0,9.34,50.0,50.0,5.3533,1.0,59.34,500.0,1.0,462.0,0.1382941382941383,0.11095673837014325,1,0,True,False,False,False,True,False,False,0
-19.0,0,4.7625,0.0,4,8,1.0,190.0,19.41,190.0,190.0,9.7888,1.0,209.41,7350.0,4.0,3270.0,0.1388888888888889,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-11.0,0,0.24138888888888888,5.0,3,10,1.0,42.9,14.1,42.9,42.9,3.0426,4.0,57.0,250.0,4.0,396.0,0.10869565217391304,0.11095673837014325,0,0,True,False,False,False,False,True,False,0
-12.0,0,39.41138888888889,1.0,0,11,1.0,69.9,14.66,69.9,69.9,4.7681,1.0,84.56,500.0,2.0,1346.0,0.11450641826650006,0.11955307262569832,0,0,False,False,False,False,False,True,False,0
-2.0,0,12.002777777777778,3.0,3,17,5.0,190.0,77.8,38.0,38.0,2.4422,1.0,267.8,705.0,3.0,698.0,0.11821305841924398,0.11000991080277503,0,0,False,False,False,False,False,False,False,1
-16.0,0,0.25833333333333336,3.0,4,9,2.0,113.98,31.68,56.99,56.99,3.5979,5.0,145.66,400.0,2.0,999.0,0.11785260482846252,0.1256890848952591,0,0,True,False,False,False,True,False,False,0
-2.0,0,58.95805555555555,1.0,5,16,1.0,24.99,12.84,24.99,24.99,1.9463,1.0,37.83,300.0,6.0,558.0,0.13099535843218155,0.11095673837014325,1,0,False,False,False,False,False,False,True,0
-15.0,0,0.2086111111111111,1.0,2,18,1.0,219.0,15.28,219.0,219.0,14.3325,1.0,234.28,600.0,3.0,1362.0,0.13500980916711253,0.1207464324917673,0,0,True,False,False,False,False,False,True,1
-1.0,0,30.095555555555556,0.0,6,22,2.0,186.0,15.82,93.0,93.0,11.7573,1.0,201.82,350.0,3.0,737.0,0.13500980916711253,0.11095673837014325,1,0,False,False,False,False,False,False,True,0
-15.0,0,0.30916666666666665,1.0,6,3,1.0,19.99,7.78,19.99,19.99,2.5694,2.0,27.77,100.0,1.0,575.0,0.11450641826650006,0.11095673837014325,1,0,True,False,False,False,False,False,True,0
-10.0,0,25.965,4.0,4,0,1.0,45.0,14.1,45.0,45.0,3.1915,1.0,59.1,100.0,2.0,580.0,0.1396514681308188,0.13130841121495326,0,1,False,False,False,False,False,True,False,0
